Asset,Symbol,Mean_Return_%,Volatility_%,Sharpe_Ratio,Max_Drawdown_%,Current_Price
Gold,GC=F,0.09229882101931881,1.0154292686806936,1.442934929611735,-20.430367714606888,4137.7998046875
NVIDIA,NVDA,0.24928103203739482,3.4358128800447925,1.151754720695744,-62.70169088829923,186.25999450683594
Silver,SI=F,0.09702553495575598,1.8885031303892592,0.8155838309773595,-34.72552708877655,48.58599853515625
Meta,META,0.12599850501363807,2.94155974423179,0.6799672394600389,-73.73722371525155,738.3599853515625
Google,GOOGL,0.08297010263978867,2.0596139402966185,0.6394934124599203,-43.6283756617563,259.9200134277344
Microsoft,MSFT,0.06451403543850714,1.7034354225938766,0.6012136119028877,-35.57884210888631,523.6099853515625
S&P 500,^GSPC,0.04283349842363794,1.136798584835409,0.59813648322705,-25.42509661923039,6791.68994140625
Netflix,NFLX,0.10805953446442883,2.9190485645498514,0.5876544675296566,-72.14958962166315,1094.68994140625
NASDAQ,^IXIC,0.05136749579667725,1.5105742079183386,0.5398170522351885,-35.4928366110034,23204.869140625
Apple,AAPL,0.057137645801393695,1.8297542295470322,0.49571248044915367,-33.36052208070358,262.82000732421875
Amazon,AMZN,0.05660997596424125,2.3639875886891963,0.3801439199850671,-51.984834918853416,224.2100067138672
Natural Gas,NG=F,0.1126298052501695,5.103636299322725,0.35032722250815185,-83.7293388633306,3.303999900817871
Tesla,TSLA,0.08556734341568994,3.937648438790306,0.3449620978798079,-72.97004486219816,433.7200012207031
Crude Oil,CL=F,0.004867736052008925,2.323561460409043,0.03325623856556421,-53.81568110141568,61.5
